vague_phrases,scores
Please include the kid-member 's name and the parent 's e-mail address in the e-mail so that we can better assist you with your inquiry or request .,1.2
"If a parent allows us to collect personal information about their kid , we may link certain information collected through technology ( see the `` Information Collected Through Technology '' section of A2 of our General Privacy Policy ) to that personal information .",2.8
"These activities may include participating in games , reward programs , contests , sweepstakes , events or other promotions .",2.0
How do we use and share the personally identifiable information that we collect from kids ?,2.6
We may also use your child 's information provided by the parent or with the parent 's consent to allow use of other website features including sending e-mail message to `` tell-a-friend '' and may in the future permit canned chat where a kid is able to select words from a list prepared by Pokmon to send messages to other site users .,2.2
"We may also use that information to participate in polls , surveys or questionnaires .",2.2
"We may also use that information to send your child email and messages with promotional information about new products and features , special offers , contests and sweepstakes and other interesting events concerning new products , events and other information about Pokmon .",3.2
"If you are 13 and older , we will post your full name or first name and last initial ( as you direct us ) and your state and country on the appropriate Site ( s ) with your Player Ranking .",1.0
"For example , we may use your information to send you administrative communications either about your account with us or about features of our Sites , including any future changes to this Privacy Policy .",2.6
"If you have selected to receive online marketing communications from our site , your personal information may be used to send you marketing material about our products and services .",2.0
"That 's why whenever you give out personal information online in public areas , that information can be collected and used by people you do n't know .",2.0
We may also use your personal information for other purposes such as `` Operational Uses . '',2.8
"They 've agreed to abide by the terms of this Privacy Policy , but Pokmon can not guarantee that these independent third parties will safeguard your personal information .",2.2
"If you do n't want your personal information shared with independent third parties who run offline POP events , then do n't apply to participate in the POP tournament ratings and rankings portion of our site .",2.0
"Pokmon may share your personal information with outside entities hired to assist with internal Site support operations ( e.g. , online product fulfillment , email services , or technical support ) .",3.2
"This Privacy Policy applies only to Sites maintained by Pokmon , and not to our international affiliates , or any website maintained by other companies or organizations to which we link .",1.4
"However , if you prefer not to disclose personal information , you will not be able to enjoy certain features of our Sites .",2.5
Personal information is information that identifies you and may be used to contact you .,2.0
"We receive information from our guests and , with our guests ' consent , from third parties such as Pokmon Organized Play ( `` POP '' ) tournament organizers .",2.0
These technical methods may involve the transmission of information either directly to us or to another party authorized by us to collect information on our behalf .,3.8
"We also use these technical methods to analyze the traffic patterns on our Sites , such as the frequency with which our users visit various parts of our Sites .",2.6
Web beacons are small pieces of data that are embedded in images on the pages of various sites .,2.2
How is your personally identifiable information used and shared,2.4
How can you update your personal information and profile,1.4
"From time to time , we review our security procedures to consider appropriate new technology and methods .",2.2
"With parental consent , Pokmon may share kids ' personal information as necessary with outside entities hired to assist with internal website and support operations ( e.g. , online product fulfillment , email services , or technical support ) .",3.4
"In most cases , these are independent third parties and not Pokmon employees .",2.2
"Typically , this information includes :",2.5
"If you do n't want your child 's personal information shared with independent third parties who run offline POP events , then do n't allow your child to participate in the POP tournament ratings and rankings portion of our Sites .",2.0
"They 've agreed to abide by the terms of this Privacy Policy , but Pokmon can not guarantee that these independent third parties will safeguard your child 's personal information .",2.0
"As parent or guardian , you can choose to post your child 's username , full name , or first name and last initial , in the Player Rankings .",1.4
"So long as we have obtained the appropriate consent , we may publish a winner 's first name , city , and state of residence on our Sites .",1.8
"Kids can surf Pokmon 's Sites , view content , and enjoy many features without any personal information being collected .",2.6
"Finally , so long as we have received parental consent , we may use a kid 's personal and demographic information for our other business purposes , such as record keeping , transaction fulfillment , and to study ways to better improve our services .",3.0
"How can parents access , change or delete personally identifiable information about their kids ?",2.0
How do we use and share the personally identifiable information that we collect from kids ?,2.4
We do not share any information about a child with any third parties unless the disclosure is reasonably necessary to :,2.6
"If you provide us with your e-mail and/or postal address , we may include that address in e-mail and/or postal address lists that we sell , trade , or rent to third parties .",2.4
These companies may collect information about you on our behalf .,2.6
We require that these parties agree to process any such information based on our instructions and in compliance with this Privacy Policy and any other appropriate confidentiality and security measures .,2.0
"Bonnier websites sometimes may offer contests , sweepstakes , or promotions that are sponsored by or co-sponsored with identified third parties .",3.0
"By virtue of their sponsorship , these third parties may obtain personally-identifying information that visitors voluntarily submit to them in order to participate in the contest , sweepstakes , or promotion .",2.8
Some of our websites contain links to other sites .,2.2
"Bonnier employees , agents , and contractors who have access to personally-identifying information are required to protect this information in a manner that is consistent with this Privacy Policy and may not use the information for any purpose other than to carry out the services they are performing for Bonnier .",2.2
"These individuals are bound by confidentiality obligations and may be subject to discipline , including termination and criminal prosecution , if they fail to meet these obligations .",1.4
"In some circumstances , we also collect non-personally-identifying information .",2.6
"At some Bonnier sites and through certain promotions , you can submit personally-identifying information about other people .",3.8
"For example , you might submit a person 's name and e-mail address to send an electronic greeting card ; or , if you order a gift online or offline and want it sent directly to the recipient , you might submit the recipient 's name and address .",1.2
"Some Bonnier websites also provide referral services to help you inform a friend about our websites , products , or services .",2.0
"The types of personally-identifying information that we collect about other people at pages like these may include the person 's name , address , e-mail address , or telephone number .",2.6
"Many Bonnier websites include community features , such as online forums and message boards .",2.0
Information that is posted in these areas becomes public information and the use that any third party makes of this information is beyond our ability to control .,2.25
"If you elect to submit content that includes information that can be used to identify you , you must assume that the content can and will be displayed on any website on the Internet .",2.0
"We may also decline to process requests that are automated , repetitive , systematic , or impractical , or that might jeopardize the privacy of others .",2.75
"We may also use , transfer , sell , and share aggregated , anonymous data about our users for any legal purpose , such as analyzing usage trends and seeking compatible advertisers and partners .",1.6
In no event will this aggregated data contain any information that could be used to identify individual users of our products or services .,1.6
"We take appropriate physical , electronic , and procedural measures to safeguard and protect your personal information .",2.0
We also take appropriate measures to secure the transmission of sensitive personal information from your computer to the Company 's computers .,1.8
You may also notify us by sending mail to the following address :,1.6
- Present or serve the advertisements you may see at Bonnier websites ;,1.8
"In addition , your personal data will be transferred to other Bonnier offices where necessary for the performance or conclusion of our contractual obligations to you or for your benefit .",1.8
"Transfers of personally-identifying information may also be made where necessary for the establishment , exercise , or defense of legal claims .",2.4
You may also opt out of the receipt of any marketing materials from Bonnier as detailed below .,1.4
We may transfer your sensitive personally-identifying information to other Bonnier offices for internal management and administrative purposes .,2.8
"Before sharing any personal information with outside parties , we require that these parties agree to process such information based on our instructions and in compliance with this Privacy Policy and any other appropriate confidentiality and security measures .",3.0
"- When we have a good faith belief that access , use , preservation , or disclosure is necessary to ( a ) comply with applicable law , regulation , or legal process ; ( b ) enforce the applicable Terms of Service or other agreements and policies on the Co",1.8
"To better protect your privacy , we provide this notice explaining our privacy practices and the choices you can make about the way your information is collected and used by Bonnier .",2.0
"This Privacy Policy applies to all of the products , services , and websites offered by Bonnier Corporation and its subsidiaries or affiliated companies ( collectively , `` Bonnier '' ) .",1.8
An overview of the information that Bonnier may collect,2.2
"When you visit a Bonnier website , we may collect information such as the type of browser you use , your operating system , your IP address , and the domain name of your Internet Service Provider .",2.4
"When you visit our websites , we may send one or more cookies . small , removable data files . to your computer .",3.0
Some of the features and services of Bonnier websites may not operate properly if your cookies are disabled .,3.0
"On our websites , we may also use tiny graphic images called pixel tags , web beacons , or clear gifs .",2.6
"Most browsers are initially set up to accept cookies , but you can configure your browser to warn you when cookies are sent , or to refuse all cookies .",2.0
"For certain promotions , only those who provide us with the requested personally-identifying information will be able to order products , programs , and services , or otherwise participate in the promotion 's activities and offerings .",2.6
"In some limited circumstances , such as to resolve disputes , troubleshoot problems , and enforce our policies , we may retain some of information that you have requested us to remove .",2.8
We will decline to process requests where we can not verify the identity of the requester .,1.0
"You will still receive information from Bonnier and its various brands , but we will not share your address information with anyone else .",1.2
"If we propose to use your personal information for purposes beyond that explained in this policy , we will provide appropriate notice before doing so and we will provide you with the means to opt out of those uses .",1.6
"If you provide us someone else 's personally-identifying information for referral purposes , we may use that information to invite them to visit our websites or to provide them information about our products or services .",1.8
"We will use the personally-identifying information that you provide about others only as necessary to provide the products or services that you have requested ; for example , to enable us to send them your gifts or cards .",1.8
"We use the personally-identifying information that you provide us to fulfill your requests for our products , programs , and services , to respond to your inquiries about offerings , and to offer you other products , programs , or services that we believe may be of interest to you .",2.4
"You should consult the other sites ' privacy notices , as we have no control over information that is submitted to , or collected by , these third parties .",2.6
"Depending upon the product or service , we may ask you for a variety of personally-identifying information .",3.4
"Sometimes , we need personally-identifying information in order to provide you with the products and services that you request .",3.0
"You are able to take advantage of many Bonnier products , services , and websites without providing any information that personally identifies you .",2.4
"This includes your credit card number , income level , or any other information that would normally be considered confidential .",3.0
We consider certain identifying information `` sensitive . '',3.6
"We may also ask for other information about you , such as your credit card information ( when you are making a purchase ) , interests , income , or education level .",3.8
"This might include , for example , your name , address , e-mail address , telephone number , gender , and birth date .",2.8
"In that case , you can still access and use many portions of our websites ; however , you will not be able to access and use those portions of any Bonnier website that require your personal information .",2.25
You may choose not to provide us with any personally-identifying information .,1.5
These other sites ' information practices may be different than ours .,2.6
"In your request , please tell us what communications you would like to opt out of , what means we have been using to contact you ( such as your e-mail or postal address ) , the date of your request , and a way to contact you in case we need to personally contact you in an effort to comply with your request .",1.0
Pixel tags may also be used to deliver cookies .,2.6
Some of our websites also use third-party advertising companies to serve ads when you visit .,2.6
"Pixel tags also allow us to send you e-mail in a format that you can read , and let us know when you have opened an e-mail message from us .",1.6
These companies may use non-personally-identifying information about your visits to this and other websites in order to provide advertisements about goods and services of interest to you .,2.0
We work with reputable third parties that provide data tracking and collection technologies in order to :,1.4
"We may syndicate the publicly available content of our community areas to unaffiliated third-party websites , using RSS or other technologies .",3.6
"We sometimes use this information to communicate with you , such as to notify you when you have won one of our contests , when we make changes to subscriber agreements , to fulfill a request by you for an online newsletter , or to contact you about your account with us .",2.8
"However , if you elect to provide us with personally-identifying information during your visit , that information may be linked to your IP address .",3.2
"Though we do take appropriate steps to review and update the information that we store to ensure that it is accurate , complete , and current , we also depend on you to update or correct your personal information when necessary .",2.25
You may correct or delete any or all of the personal information you have provided to us at any time .,1.75
Many of our websites provide means to review and update the personal information that you have provided on that website .,2.75
"Regardless of these measures , no system connected to the Internet or data transmission sent over the Internet can be guaranteed to be 100 % secure .",1.2
We will provide notice if we become aware of any security breach that may affect any sensitive personal information pertaining to you that we have stored on our systems .,2.4
"If we are not able to resolve a complaint , we will participate in the appropriate independent recourse mechanism as necessary .",2.8
"We reserve the right to send you certain communications , such as technical alerts , without offering you the opportunity to opt out of receiving them .",3.0
We may update this policy .,1.6
We will maintain all user created data and information in strict confidence ( unless a user wishes to publish it ) and we will take the same degree of care to protect that information as we would employ to protect similar information belonging to us .,2.2
"We do not sell , trade , exchange or otherwise make available any personally identifiable information to any other team or organization .",1.8
"If you share a mind map with other users , they are part of your friend network and can access your name , email and Skype information .",1.2
"Starfall may disclose user information if required in response to judicial process , or to law enforcement agencies or in connection with an investigation on a matter related to public safety .",2.4
This privacy policy may be updated in the future and posted here .,1.6
We do not collect personal information through cookies and do not share cookies with third parties .,1.6
"As a general precaution , warn children never to give out their name , address , or other personal information on any website .",2.6
We use this information in aggregate form to understand how our site is being used and how we can better serve visitors .,2.2
It is not truly personally identifiable information because many different individuals can access the Internet via the same computer .,2.8
First party cookies are distinct from third party cookies that they are created and directly served by the company hosting the website .,1.6
You can delete our cookies at any time .,1.4
"In some cases , telephone numbers , email addresses or return addresses are required so that we can supply requested information to you , and in other cases , correct names and addresses are required to process credit card payments .",2.8
Our website contains forms through which users may request information or supply feedback to us .,1.8
"In addition , Cleveland Clinic does not share any personally identifiable information of any individual with any third party unrelated to Cleveland Clinic , except in situations where we must provide information for legal purposes or investigations , or if so directed by the patient through a proper authorization .",2.0
We do not collect information that would personally identify you unless you choose to provide it .,2.2
"Occasionally , we may survey visitors to our site .",3.0
"We do not provide any information supplied on our web forms to any outside organization for any reason ( other than where we may be required to by law , or as necessary to process credit card information ) .",2.6
We generally do not ask for information in surveys that would personally identify you .,2.6
The information from these surveys is used in aggregate form to help us understand the needs of our visitors so that we can improve our site .,2.4
Other services provided by Cleveland Clinic on this Website may require you to agree to additional terms .,2.4
"After you fill out a form , we may contact you with follow-up information ( unless you have checked an `` opt-out '' box on the form ) .",1.6
"Please note that although such information is not personally identifiable , we can determine from an IP address a visitor 's Internet Service Provider and the geographic location of his or her point of connectivity .",2.2
"If we do request contact information for follow-up , you may decline to provide it .",1.6
"Since cookies allow you to take full advantage of some of our website 's best features , we recommend that you leave them turned on .",1.8
"The `` help '' section , located on the toolbar of most browsers , will tell you how to prevent your browser from accepting new cookies , how to have the browser notify you when you receive a new cookie or how to disable cookies altogether .",1.8
We use reasonable care to protect your personally identifiable and confidential information provided by you to our site .,2.6
"Cleveland Clinic periodically reviews and modifies , where appropriate , its security policies and procedures .",3.0
"While we sometimes ask for credit card numbers or certain service transactions , and either pass them on to a credit card processing service or process them manually , we do not store credit card numbers online .",1.8
CLEVELAND CLINIC CAN NOT GUARANTEE RESPONSE TIMES IF YOU CHOOSE TO USE THIS E-MAIL IN THE EVENT OF A MEDICAL EMERGENCY .,1.6
A visitor can access and browse our entire site at any time without providing any personal information .,1.6
IMPORTANT NOTE ! The Cleveland Clinic Notice of Privacy Practices is a separate document that governs how medical information about you may be used and disclosed by Cleveland Clinic .,1.75
"We understand , acknowledge and respect any individual 's right to privacy and the concerns one may have in regard to privacy and security .",1.6
"We recognize the importance of protecting the privacy of information provided by our patients , as well as , general users of our website .",2.2
CLEVELAND CLINIC MAY CHANGE THIS PRIVACY POLICY WITHOUT NOTICE TO YOU .,2.6
"BEYOND OUR REASONABLE CARE TO SAFEGUARD YOUR INFORMATION WHILE IN TRANSIT , CLEVELAND CLINIC CAN NOT AND DOES NOT GUARANTEE THE ABSOLUTE SECURITY OF ELECTRONIC COMMUNICATIONS OR TRANSMISSIONS SINCE ANY TRANSMISSION MADE OVER THE INTERNET BY ANY ORGANIZATION OR ANY INDIVIDUAL RUNS THE RISK OF INTERCEPTION .",1.8
"CLEVELAND CLINIC MAKES NO EXPRESS OR IMPLIED WARRANTIES , INCLUDING , BUT NOT LIMITED TO , ANY WARRANTIES OF MERCHANTABILITY , FITNESS FOR A PARTICULAR PURPOSE OR USE , TITLE OR NON INFRINGEMENT .",2.6
"PLEASE NOTE THAT , BY ITS VERY NATURE , A WEBSITE CAN NOT BE ABSOLUTELY PROTECTED AGAINST INTENTIONAL OR MALICIOUS INTRUSION ATTEMPTS .",1.6
"FURTHERMORE , CLEVELAND CLINIC DOES NOT CONTROL THE DEVICES OR COMPUTERS OR THE INTERNET OVER WHICH YOU MAY CHOOSE TO SEND CONFIDENTIAL PERSONAL INFORMATION AND CAN NOT , THEREFORE , PREVENT SUCH INTERCEPTIONS OF COMPROMISES TO YOUR INFORMATION WHILE IN TRANSIT TO CLEVELAND CLINIC .",3.2
"You agree to defend and indemnify NDTV from and against all third party claims and all liabilities , assessments , losses , costs or damages resulting from or arising out of ( i ) your breach of the Terms , ( ii ) your infringement or violation of any intellectual property rights , other rights or privacy of a third party , or ( iii ) misuse of the Service by a third party where the misuse was made possible by your failure to take reasonable measures to protect your username and password against misuse .",2.4
"You may pay by credit or debit card , network service provider billing , or other payment methods if available .",2.0
"No warranty of any kind , either express or implied , including but not limited to warranties of title , non-infringement , merchantability , or fitness for a particular purpose , is made in relation to the availability , accuracy , reliability , information or content of the Service .",1.8
You expressly agree and acknowledge that the use of the Service is at your sole risk and that you may be exposed to content from various sources .,2.4
"NDTV may assign its rights and obligations under these Terms to its subsidiaries , or to any company under common control with NDTV .",2.4
"Additionally , NDTV may assign its rights and obligations under these Terms to a third party in connection with a merger , acquisition , sale of assets , by operation of law or otherwise .",3.0
You may be able to submit information or content ( Material ) to the Service .,2.2
"You may not distribute , transfer the right to use , modify , translate , reproduce , resell , sublicense , rent , lease , reverse engineer , or otherwise attempt to discover the source code of or make derivative works of the Software .",1.4
"You may not copy the Software , except to make a single archival backup copy .",1.4
"By submitting Material to the Service you grant NDTV a world-wide , non-exclusive , sub-licensable , assignable , fully paid-up , royalty-free , perpetual and irrevocable license to use , copy , publicly perform , display , distribute in any media and modify the Material to incorporate the Material into other works , and to grant similar sublicenses to the extent necessary for NDTV to provide the Service .",2.0
You may be able to adjust this grant in the privacy and other settings of the Service .,2.25
"The Service , operations and some features may also be dependent on the network , compatibility of the devices used and the content formats supported .",2.6
"To access the Service , you may need to download a specific piece of software developed by NDTV or by another party .",3.6
"Users of these services and persons , such as your contacts , may see your location , status and/or personal information .",1.6
"In using these features you agree not to share information , Content or Material , or to link to any service or site containing information , Content or Material , that : ( a ) contains content or other material that is illegal or inappropriate ; ( b ) exploits intellectual property rights without authorization or encourages users to piracy ; or ( c ) contains sensitive personal data of others .",2.6
"You may use features in the Service to share your location , status , content , Materials or personal information or to interact with other users , sites and services .",2.6
The availability of Content and the Service may vary and is subject to NDTV 's sole discretion .,2.8
Your use of the Service may be or may become subject to charges .,2.8
NDTV may also send you notices about products and Services to the email address or telephone number you have provided to us .,1.8
NDTV may post notices within the Service .,1.6
NDTV may be acting as an agent for third party Content provider in providing the Content to you .,2.4
NDTV may modify the Terms at any time without prior notice .,2.2
Respect the privacy of others ;,2.0
"Not submit unlawful , offensive , inaccurate , misleading , abusive , pornographic , harassing , libelous , blasphemous , defamatory , obscene , pedophilic , invasive of another 's privacy , hateful , racially or ethically objectionable , disparaging , relating to or encouraging money laundering or gambling , or otherwise inappropriate material .",1.75
"Obtain any consents , permission or licenses that may be legally required for you to submit any Material ;",2.0
"If the Service is discontinued or canceled , NDTV may permanently delete your data .",2.0
By using these features you agree that NDTV may use and provide that information to other services and persons with whom you choose to interact or share this information .,2.0
We may place a text file called a `` cookie '' in the browser files of your computer .,2.2
"Personal Information is used to operate the NDTV Sites , and we may occasionally inform you of new features , services , and products from the Company .",3.2
There may be instances where you incur additional charges from your bank or credit card provider based on currency conversion rates used and/or additional fees assessed .,3.2
"By submitting any ideas , feedback and/or proposals ( `` Feedback '' ) to NDTV through the Service or other means , you acknowledge and agree that : ( 1 ) NDTV may have similar development ideas to the Feedback ; ( 2 ) your Feedback does not contain confidential or proprietary information of you or any third party ; ( 3 ) NDTV is not under any obligation of confidentiality with respect to the Feedback ; ( 4 ) NDTV may freely use , distribute , exploit and further develop and modify Feedback for any purpose ; and ( 5 ) you are not entitled to any compensation of any kind from NDTV .",3.0
"These NDTV Service Terms together with the Privacy Policy and all other additional terms and information that may be provided within the Service ( collectively Terms ) govern your use of the service , site , content and software ( collectively the `` Service '' ) .",3.0
NDTV assumes no responsibility for the payment of any charges of your service providers .,1.2
"Prices listed within the Service do not include possible data transmission , text message , voice or other service provision charges by your network service provider .",1.6
Use of the Service may involve transmission of data through your service provider 's network .,2.6
NDTV is not a party to the transaction between you and the third party Content provider for such Content .,1.8
"Not use any other technologies or initiate other activities that may harm the Service , or the interest or property of the Service users .",3.8
NDTV may but has no obligation to :,3.4
"Advertisements may be targeted to the content or information stored on the Service , queries made through the Service , or other information .",2.8
NDTV may terminate your registration or restrict your access to certain parts of the Service if NDTV reasonably believes that you have breached the Terms .,3.2
To use a Service you may need to register and create an account with a username and a password .,1.8
"The Terms constitute an agreement between you and New Delhi Television Limited including its affiliates and suppliers ( collectively NDTV ) , defining your and NDTV 's rights and responsibilities with respect to the Service .",1.4
NDTV may verify your email address before your account can be used .,2.2
You may need to provide us with certain personal and other information .,2.8
You must take due care to protect your username and password against misuse by others and promptly notify NDTV about any misuse .,2.0
